IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
0.6142	-1.9524	-1.1248	-1.3946	-0.7760	-1.1438	0.3412	0.2291	0.5252	0.5215	-0.9282	-0.0250	-0.6477	0.1242	-1.0026	-1.6611	-1.4628	-0.3792	1.3424	-0.6451	-2.4671	-1.4772	-1.4888	0.9063	-0.5550	-3.0696	-0.5994	-1.5852	-0.4334	0.7407	-0.2192	-1.7458	-0.4728	-0.3655	1.2911	-1.9154	0.3356	0.4648	-0.8625	-1.4966	-2.0935	-0.5687	-1.9588	-1.8247	-1.8469	-0.4350	2.0665	1.2470	-0.0501
-0.2628	0.0333	-0.2603	-1.0795	0.3986	-1.2486	-0.6865	-1.2909	-0.2722	-0.9182	-1.5919	-0.1318	-1.1478	-0.0366	-0.2464	-0.9544	-0.5553	0.0868	0.9904	0.1925	0.1106	0.4188	-0.2779	0.0167	0.0856	-0.2282	-1.5001	-1.6618	0.9839	-0.4320	-0.4448	-0.7352	-0.5560	-0.4948	0.7326	-1.1368	-0.6674	-1.1347	1.2406	-0.2094	-0.7704	1.4240	-1.6358	0.8290	-1.6513	0.2322	2.0512	-0.3506	1.3428
0.1771	0.4598	0.2284	3.0066	0.7143	1.9891	-3.0815	-0.7574	-0.3489	-1.7685	-0.6668	-0.6088	1.2592	0.2699	-1.1109	1.7339	0.6854	0.0849	-0.5885	0.7722	0.6068	-0.0924	1.0733	0.5870	0.1178	0.9923	0.0506	0.0778	0.4329	1.1215	-0.0751	0.2591	1.0585	0.2763	1.1830	0.8757	0.3609	-0.7968	1.8227	0.4669	-1.0778	1.9139	-1.2716	0.1677	1.9068	-0.5565	-0.8137	0.1736	0.5725
0.5266	2.1022	-0.4196	0.2214	1.2752	1.1354	-0.7891	-0.1253	1.4131	-1.0218	1.2949	1.4586	-0.0421	0.3233	0.6949	0.8164	0.0437	0.9546	-0.1562	0.6462	-1.0251	0.1823	1.8388	-0.4673	0.4442	2.1154	0.0545	0.7710	0.1007	-0.9574	-0.1040	1.1477	1.1067	1.4022	-0.2627	-0.0981	-1.4379	0.4358	-0.8212	0.4057	1.2214	-0.6154	-0.1055	2.3319	1.1675	0.7624	1.6634	0.4830	0.4661
0.8828	2.3009	1.0017	-1.5427	2.1841	-0.9635	1.1136	-0.0193	1.8399	1.4865	0.9765	3.3384	-1.6623	0.1049	1.7984	-1.5007	0.0264	2.9918	0.8196	0.8664	0.3070	1.8052	0.8132	-1.3036	1.6696	2.5438	-1.3946	-0.0521	1.0439	-1.1768	-0.1531	1.2069	0.6648	1.4408	-0.0554	0.3918	0.3940	0.6347	0.9274	1.3538	2.6707	-0.1593	0.8449	1.7721	-1.5341	-1.4059	1.7306	1.0329	1.1118
1.1160	0.2832	2.0868	0.2061	0.8972	0.2007	-0.8168	0.1346	0.9028	-0.6426	0.6229	1.3977	1.7944	0.9331	1.1520	-0.5769	0.4943	2.1549	0.5098	-0.5287	1.7693	0.7187	0.8803	0.3449	0.6137	0.9044	-0.3123	-0.3305	1.4174	0.7620	-0.3857	0.0598	0.5313	1.1726	1.7449	0.5765	2.1029	-1.1419	0.6839	1.7062	1.2656	1.0424	0.1744	0.2334	-0.0491	-0.2669	-0.5173	1.2249	0.8891
1.9474	-1.3513	1.3790	1.3157	-1.0612	-0.2066	-0.4691	0.9011	1.9609	-0.7054	1.0318	1.1581	0.4434	1.0943	-0.8021	1.2620	-1.8801	-0.3081	-0.5237	-0.1075	-0.0764	-1.0759	-0.2817	1.2810	-0.9113	-0.1923	-0.5312	0.2230	1.0195	0.9713	0.5931	-0.6690	0.6165	0.7772	1.0988	-1.7524	1.9754	-0.7670	-1.3940	-0.0599	-0.5563	0.3334	0.8123	-0.9854	-0.3745	0.1951	-1.3201	0.6570	-0.2546
0.4756	-1.2124	2.0530	-0.2565	-0.4834	-1.5203	0.2093	0.1102	0.5101	0.8401	1.5326	-0.7949	-0.8476	0.5517	0.0115	-0.2293	-1.1422	-1.1685	1.4685	-0.0461	0.6627	-0.3272	-0.0804	0.2294	-1.5709	-0.9759	-0.6142	-0.8755	2.2761	-1.3603	1.3441	-0.6732	-0.1827	0.3054	0.8855	-2.2291	-1.4538	1.0494	0.8466	0.5882	-1.3158	0.7881	-0.2555	-0.3801	-1.4215	-0.5689	-0.2554	1.4689	-0.1954
-0.0872	0.5763	0.6123	-0.3677	0.5191	-1.0357	0.4115	-0.0944	0.0528	0.3322	0.4654	0.2178	-0.4204	-0.9384	0.3998	0.9194	-0.8361	0.1769	1.4070	0.0253	1.3272	0.5660	0.1863	0.5431	-0.0323	1.0024	0.2312	-0.2679	1.4754	-1.4837	0.4207	1.0883	-0.6990	1.0608	-0.0320	-1.1195	-0.3967	-0.6729	0.2168	1.3080	0.0730	-1.1011	-0.0833	0.9127	-1.2291	-0.0617	0.5172	-0.5139	0.6519
0.6684	0.9078	-0.7583	1.3225	-0.2775	-0.2338	0.2310	0.4856	1.6555	0.1198	0.5984	0.9739	0.2992	-1.0412	-0.1065	0.5458	-0.9301	-0.7331	0.0802	0.0996	-0.8437	-0.5342	0.7856	0.0630	-0.4506	0.4893	-0.3563	0.1185	0.2715	0.5076	-0.2369	0.5302	0.1275	1.3955	-0.1089	-1.4378	1.1522	-0.3976	-1.4326	1.3042	0.0792	-1.2574	0.9166	-0.0874	-0.1225	1.5688	-1.3298	0.3554	0.4498
