IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
-0.5822	0.3153	-0.0241	-0.7839	-0.1608	-0.0842	0.0914	2.0260	-0.1596	-1.5330	-0.9184	-0.2473	-1.1722	-0.7199	-0.6636	-1.3971	-0.4340	-0.8394	-0.4616	-0.7413	-0.6041	-0.6878	0.7797	-0.4334	-1.0845	-1.3670	-0.5963	-0.5790	0.0442	-0.2857	-0.2242	0.1058	-0.4238	0.0034	-0.2839	0.3452	-0.7987	-0.7245	0.1039	-0.6079	-1.0786	0.6464	-1.6567	-0.9714	-0.0881	-0.9222	-0.2932	-0.8760	0.0722
0.0038	0.6930	-0.1867	-1.0559	-0.1591	-0.3864	0.1762	2.4138	0.1823	-1.0746	-0.6104	0.0124	-0.9464	-0.4153	-0.6244	-0.9987	-0.6449	-0.8136	-0.8368	0.2931	-0.7583	-1.1111	0.4656	-0.5208	0.0828	-1.1459	-0.9606	-0.1258	-0.4038	-0.3636	0.5334	0.6406	-0.3456	0.2209	-0.1428	-0.1489	-0.9418	0.8686	0.2237	-0.2781	-1.5248	0.2178	-1.2438	-0.6488	-0.8767	-0.3284	-0.2444	-1.0428	0.4487
-0.4831	0.4543	-0.0750	-0.6563	-0.1583	-0.2536	-0.0937	0.7685	-0.5030	-0.4107	-1.2624	-0.6610	-0.4199	0.4261	-1.0244	-0.6028	-0.0721	0.1575	-0.5553	-0.0265	-0.9199	-0.3667	-0.2368	-0.7587	-0.1144	-0.3946	-0.5716	-0.0267	-1.1178	-1.1026	0.7383	0.6139	-0.8834	-0.4752	0.0286	0.1765	-0.7041	-0.4459	0.2216	0.3386	-1.2803	0.0544	-1.0041	-0.8283	0.4108	0.2352	0.0304	-1.3132	0.4798
0.1799	0.4882	0.2740	0.8843	-0.2039	1.0886	1.3462	-1.5244	-0.3169	0.5437	-1.9346	0.5124	0.8914	-0.0555	-0.7720	0.4358	0.9153	0.8084	-0.0612	-0.4662	-0.5124	0.5066	-0.0176	-0.6227	-0.5793	-1.0209	-0.3846	-0.0021	-1.5331	0.3840	0.5304	0.0112	-0.4359	-0.6886	-0.2710	0.5778	-1.1896	1.0505	0.3289	0.1178	0.5413	1.2076	-0.2060	-0.3765	0.4146	-0.5899	-0.0505	-1.4115	-0.0057
-0.1122	1.2616	0.5267	0.0939	0.4601	0.5174	0.1966	-1.6279	-0.0506	-0.5552	-0.0827	0.5015	0.4557	0.2222	0.1312	0.8803	-0.1602	0.3752	0.1281	0.7933	0.0200	0.5395	-0.6610	-0.1412	0.6178	1.0297	-0.1875	0.2712	-1.2127	-0.3286	0.4506	0.1185	0.5545	0.7729	-0.1193	0.3891	-1.3066	1.2597	0.0134	0.2320	0.5802	1.1546	-0.1064	0.7445	0.1027	-0.2323	0.6117	-0.3906	0.9579
-0.3980	1.3912	0.6863	-0.1399	0.6812	-0.9007	0.0281	-1.2274	1.0757	-0.6007	0.3608	0.6716	-0.3470	0.4315	0.8545	-0.3009	0.3086	-0.0561	0.3446	0.9261	-0.4633	-0.4041	0.2027	-0.2561	0.6955	1.2621	-0.3661	0.2689	0.0024	-0.7095	0.9146	1.0502	0.8015	1.2400	0.1238	-0.1565	-0.1645	0.5521	-0.1310	0.7174	0.6485	0.4412	0.2634	1.1048	-0.4559	1.7826	0.6082	0.2662	1.1366
-0.5389	0.3344	0.5271	-0.3438	0.9901	0.0196	0.2030	-1.0696	0.4044	-0.1624	-0.5626	0.6764	-0.1160	0.3202	0.9064	0.4535	0.2031	0.4616	0.4136	0.1797	-0.4639	0.4126	-0.1837	0.9498	0.0963	1.4510	-0.4799	-0.1470	0.1950	0.0131	1.0465	0.6972	0.7189	0.5560	0.3415	-0.2823	0.5570	-0.8289	-0.2230	0.4998	-0.3744	0.1869	-1.0981	1.3737	0.0505	0.9597	-0.1034	0.2319	0.3608
-0.0286	0.4313	0.3835	-1.0342	1.0332	-0.2825	-0.1999	-0.1945	0.8457	-0.1692	0.0302	0.6733	-0.5215	0.4935	0.9904	0.3657	0.0466	0.0875	0.0312	0.6486	-0.0577	-0.3566	0.1062	0.5266	0.4214	0.3601	0.0378	0.4458	0.2996	-0.8827	0.6943	1.0374	0.8077	0.9622	0.0117	-0.3213	-1.1096	-0.2543	-0.1162	1.1543	-0.4109	-0.2630	-0.3127	1.0728	0.6316	0.8213	-1.8486	0.8280	0.3660
-0.4353	0.2328	0.6499	-0.1510	0.9061	-0.2732	-0.9527	0.1500	0.4388	-0.8394	0.2517	-0.3939	-0.2162	0.8443	0.9413	0.5388	0.6160	0.5271	0.7608	0.2103	1.2019	0.7324	-0.0269	-0.1093	0.9487	1.0114	0.6884	0.7511	1.2058	0.1232	0.9032	-0.2221	0.3972	0.2556	0.6535	0.7106	-0.9720	-0.8088	0.4150	0.9400	0.1510	0.5377	-0.3524	0.4219	1.1255	-0.2059	-0.7285	0.6102	-0.6187
0.0927	-0.0615	-0.1150	0.6162	0.6101	0.2968	-0.3677	-0.0819	-0.1631	0.0101	0.4745	0.0239	0.1673	0.7205	0.2956	0.5047	-0.0097	-0.0085	0.6027	-0.1583	1.7359	0.6937	-0.1863	1.0502	0.7244	0.0639	-0.2420	0.3611	1.2827	1.0904	0.5263	-0.6339	0.2396	0.1256	0.0739	-0.0365	0.4856	-0.0165	0.1344	0.1603	0.4621	0.3850	0.2575	0.4606	-0.0242	-1.2409	-1.2210	0.2567	-1.1708
